Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity
Lele Rice 1kg,Rice,TY00000,8858669700180,1kg,22.5,6.6667,24,,1,0,1,0,1,,0
Lele Rice 5kg,Rice,TY00001,,5kg,105.6,4.1667,110,,1,0,1,0,1,,-1
Lele Rice 25kg,Rice,TY00002,,25kg,525,3.8095,545,,1,0,1,0,1,,0
Lele Rice 10kg,Rice,TY00003,,10kg,0,0,230,,1,0,1,0,0,,0
Sultana Thai Rice 4.5kg,Rice,TY00004,,4.5kg,100,6,106,,1,0,1,0,1,,0
Diora Thai Rice 5kg,Rice,TY00005,,5kg,0,0,40,,1,0,1,0,0,,0
Fortune Orange 5kg,Rice,TY00006,,5kg,81,3.7037,84,,1,0,1,0,1,,0
Emerald,Rice,TY00007,,5kg,0,0,57,,1,0,1,0,0,,0
Gino Rice 5kg,Rice,TY00008,,5kg,130,3.0769,134,,1,0,1,0,1,,0
Bella Rice Viet 5kg,Rice,TY00009,,5kg,65,6.1538,69,,1,0,1,0,1,,0
Mother'S Pride Blue,Rice,TY00010,,5kg,0,0,90.5,,1,0,1,0,0,,0
Mother'S Pride Orange,Rice,TY00011,,5kg,0,0,110,,1,0,1,0,0,,0
Supreme Round Rice 25kgs,Rice,TY00012,,25kg,0,0,124.384,,1,0,1,0,0,,0
Supreme Round Rice 50kgs,Rice,TY00013,,50kg,590,0,610,,1,0,1,0,0,,0
Ruby Viet Rice 5 % Broken 4.5kg,Rice,TY00014,,4.5kg,65,4.6154,68,,1,0,1,0,1,,0
Ruby Viet Rice 5 % Broken 22.5kg,Rice,TY00015,,22.5kg,325,4.6154,340,,1,0,1,0,1,,0
Ruby Viet Rice 5 % Broken 45kg,Rice,TY00016,,45kg,630,0,650,,1,0,1,0,1,,0
Special Viet Rice 4.5kg,Rice,TY00017,,4.5kg,31.57894737,124.8258,71,,1,0,1,0,1,,0
Royal Aroma 5kg,Rice,TY00018,,5kg,76,3.9474,79,,1,0,1,0,1,,0
Royal Aroma Jasmine,Rice,TY00019,,4.5kg,0,0,85,,1,0,1,0,0,,0
Special Viet Rice 5 % Broken 50kg,Rice,TY00020,,50kg,605,4.9587,635,,1,0,1,0,1,,0
Cindy Jasmine 1kg,Rice,TY00217,6034000179354,1kg,16.5,6.0606,17.5,,1,0,1,0,1,,0
Cindy Jasmine 25kg,Rice,TY00021,,25kg,358,5.5866,378,,1,0,1,0,1,,0
Cindy Jasmine 50kg,Rice,TY00022,,50kg,785,0,805,,1,0,1,0,1,,0
Sultana Viet 4.25kg,Rice,TY00023,,4.5kg,64,4.6875,67,,1,0,1,0,1,,0
Sultana Viet 45kg,Rice,TY00024,,45kg,620,3.2258,640,,1,0,1,0,1,,0
Sultana Viet 22.5kg,Rice,TY00025,,22.5kg,320,6.25,340,,1,0,1,0,1,,0
Mario,Rice,TY00026,,4.5kg,0,0,65,,1,0,1,0,1,,-4
Wonder,Rice,TY00027,,4.5kg,0,0,30.71744,,1,0,1,0,0,,0
Mala,Rice,TY00028,,50kg,0,0,302.848,,1,0,1,0,0,,0
Fortune Green 5kg,Rice,TY00029,,5kg,79,0,83,,1,0,1,0,1,,-2
